,precision,recall,f1-score,support
Cat,0.6214689265536724,0.55,0.583554376657825,400.0
Dog,0.5964125560538116,0.665,0.6288416075650118,400.0
accuracy,0.6075,0.6075,0.6075,0.6075
macro avg,0.608940741303742,0.6075,0.6061979921114184,800.0
weighted avg,0.608940741303742,0.6075,0.6061979921114183,800.0
